symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,depreciation,total_debt
VESTL,2022/9,2022-11-09 18:23:20,0.07614598318207529,0.016075653899946783,0.0210381137610586,3.7367269571738766,0.6497650403592015,-0.08480292639568841,-0.5663061193231697,51695657.0,2457238210.0,3215773201.0,2536871244.0,678901957.0,2401883992.0,1560660249.0,134987252.0,2457238210.0,247874014.0,305035119.0,630622388.0,57161105.0,2536871244.0
VESTL,2022/12,2023-03-10 18:59:49,-0.0036832687887158313,-0.0009931693626485138,-0.0008886620092480134,2.7086008965213653,0.6354803096291387,0.8363899438489831,-1.0418702511196978,-5943572.0,6688225600.0,5984449605.0,4370781871.0,1613667734.0,4135079810.0,2627761798.0,235702061.0,6688225600.0,106905017.0,334256781.0,1136904774.0,227351764.0,4370781871.0
VESTL,2023/3,2023-05-10 18:42:34,-0.004721863102014993,-0.0009741740326992146,-0.0020147869593215026,3.8470426674500704,0.613693597893362,0.9617729163717575,-1.1031453152574693,-3321225.0,1648424904.0,3409272767.0,2705901041.0,703371726.0,2550789564.0,1565403225.0,155111477.0,1648424904.0,-63102214.0,32871282.0,244373687.0,95973496.0,2705901041.0
VESTL,2023/6,2023-08-18 19:18:02,-0.04990772097304198,-0.008332023175091048,-0.007844616618861731,4.989868235895395,0.5960267179426619,1.025180574478697,-1.3481182988480593,-26285524.0,3350772291.0,3154758868.0,2628076353.0,526682515.0,2470462821.0,1472461847.0,157613531.0,3350772291.0,62309073.0,238070183.0,658231268.0,175761110.0,2628076352.0
VESTL,2023/9,2023-11-07 18:54:09,0.02903664344292761,0.005323807831196599,0.003376599910248918,4.454111861960507,0.6101522145746586,1.06280600609739,-0.6689213370477137,17115329.0,5068805738.0,3214866040.0,2625427077.0,589438963.0,2465956173.0,1504608620.0,159470904.0,5068805738.0,170616690.0,390744317.0,1061028249.0,220127627.0,2625427077.0
VESTL,2023/12,2024-04-06 07:29:43,0.03547767347258013,0.01158024865154358,0.010437713981684577,2.0636365884812977,0.6156420845980629,0.0165970304590204,-12.940365322402084,70968421.0,6799230284.0,6128402173.0,4128033658.0,2000368515.0,3825334726.0,2355037045.0,302698932.0,6799230284.0,369629477.0,630522140.0,1513109082.0,260892663.0,4128033658.0
VESTL,2024/3,2024-04-06 07:29:43,-0.004648193670350892,-0.001544527950396854,-0.005621184010661514,2.0094590837003476,0.5921514213574469,-0.2793169503097971,1.0106800954467101,-6677921.0,1187991887.0,4323599970.0,2886929841.0,1436670129.0,2653599352.0,1571332628.0,233330489.0,1187991887.0,29677664.0,99384660.0,272925771.0,69706996.0,2886929841.0
VESTL,2024/6,2024-08-24 00:55:05,-0.02399226786198242,-0.0076581840638640505,-0.01412716123702168,2.132892558066405,0.7169511056592132,-0.2321544994535709,0.38279252108498957,-36347426.0,2572875427.0,4746219952.0,3231255789.0,1514964163.0,2556992486.0,1833238590.0,674263303.0,2572875427.0,117833764.0,242148789.0,599949723.0,124315025.0,3231255789.0
VESTL,2024/9,2024-11-08 22:42:02,-0.08539541289813868,-0.025737721207121214,-0.0307999766383303,2.3179088471325553,0.6766925616398772,-0.19224944698403432,-8.367973353010042,-126105288.0,4094330638.0,4899629108.0,3422907072.0,1476722036.0,2723352885.0,1842872640.0,699554187.0,4094330638.0,211925403.0,376217534.0,972112237.0,164292131.0,3422907072.0
VESTL,2024/12,2025-03-11 01:18:56,-0.21028977108710944,-0.06315802752363757,-0.07181295681043755,2.329581041909617,0.5833019689689954,-0.1989989973106197,-6.51100082950979,-391107027.0,5446190275.0,6192514908.0,4332666828.0,1859848080.0,3403334291.0,1985171593.0,929332537.0,5446190275.0,134873857.0,328071913.0,1137388388.0,193198056.0,4332666828.0
VESTL,2025/3,2025-05-12 19:09:06,-0.09741445448246955,-0.02752502581938692,-0.1546407772634518,2.5391230918975864,0.5175110497464005,-0.2695528534362794,19.0948615594584,-134191898.0,867765284.0,4875268742.0,3497732947.0,1377535795.0,2731619931.0,1413643498.0,766113016.0,867765284.0,-22016430.0,32157015.0,166934373.0,54173445.0,3497732947.0
VESTL,2025/6,2025-08-19 22:16:47,-0.26892711006382075,-0.06495710609273402,-0.1751143154380144,3.1400722135754946,0.4931667759018827,-0.2952707706046275,7.735525453714384,-317513865.0,1813180517.0,4888054350.0,3707385488.0,1180668862.0,2812395836.0,1386980187.0,894989651.0,1813180517.0,-83070405.0,18675974.0,307476187.0,101746379.0,3707385487.0
VESTL,2025/9,2025-11-10 18:18:13,-0.39725755960428644,-0.0907032722793475,-0.15799462114144328,3.3797489288017575,0.45045380480830566,-0.31973524117716845,2.489553713243175,-440051176.0,2785228844.0,4851546862.0,3743824264.0,1107722598.0,2852537757.0,1284936486.0,891286507.0,2785228844.0,-118477747.0,39864142.0,482899197.0,158341889.0,3743824264.0
